CustomerIdentifier,CompanyName,ContactIdentifier,ContactTypeIdentifier,ContactTitle,FirstName,LastName,Street,City,PostalCode,CountryIdentfier,CountryName,Phone,ModifiedDate,InUse
2,Ana Trujillo Emparedados y helados,2,7,Owner,Ana,Trujillo,Avda. de la Constitución 2222,México D.F.,05021,12,Mexico,(5) 555-4729,2018-06-10 12:47:07.517,1
3,Antonio Moreno Taquería,3,7,Owner,Antonio,Moreno,Mataderos  2312,México D.F.,05023,12,Mexico,(5) 555-3932,2018-06-10 12:40:45.100,1
4,Around the Horn,4,12,Sales Representative,Thomas,Hardy,120 Hanover Sq.,London,WA1 1DP,19,UK,(171) 555-7788,2018-06-10 11:45:49.707,1
5,Berglunds snabbköp,5,6,Order Administrator,Christina,Berglund,Berguvsvägen  8,Luleå,S-958 22,17,Sweden,0921-12 34 65,2018-06-10 15:26:54.627,0
6,Blauer See Delikatessen,6,12,Sales Representative,Hanna,Moos,Forsterstr. 57,Mannheim,68306,9,Germany,0621-08460,2018-06-10 15:26:57.420,0
7,Blondesddsl père et fils,7,5,Marketing Manager,Frédérique,Citeaux,"24, place Kléber",Strasbourg,67000,8,France,88.60.15.31,2018-06-10 15:26:59.590,0
8,Bólido Comidas preparadas,8,7,Owner,Martín,Sommer,"C/ Araquil, 67",Madrid,28023,16,Spain,(91) 555 22 82,2018-06-10 15:27:02.153,0
11,Cactus Comidas para llevar,11,9,Sales Agent,Patricio,Simpson,Cerrito 333,Buenos Aires,1010,1,Argentina,(1) 135-5555,2018-06-10 15:26:41.803,0
12,Centro comercial Moctezuma,12,5,Marketing Manager,Francisco,Chang,Sierras de Granada 9993,México D.F.,05022,12,Mexico,(5) 555-3392,2018-07-04 13:00:00.000,1
14,Consolidated Holdings,14,12,Sales Representative,Elizabeth,Brown,Berkeley Gardens 12  Brewery,London,WX1 6LT,19,UK,(171) 555-2282,2018-06-10 15:26:50.723,0
15,Drachenblut Delikatessen,15,6,Order Administrator,Sven,Ottlieb,Walserweg 21,Aachen,52066,9,Germany,0241-039123,2018-07-04 13:00:00.000,1
16,Du monde entier,16,7,Owner,Janine,Labrune,"67, rue des Cinquante Otages",Nantes,44000,8,France,40.67.88.88,2018-07-04 13:00:00.000,1
17,Eastern Connection,17,9,Sales Agent,Ann,Devon,35 King George,London,WX3 6FW,19,UK,(171) 555-0297,2018-08-04 16:00:00.000,1
18,Ernst Handel,18,11,Sale's Manager,Roland,Mendel,Kirchgasse 6,Graz,8010,2,Austria,7675-3425,2018-08-04 16:00:00.000,1
19,FISSA Fabrica Inter. Salchichas S.A.,19,1,Accounting Manager,Diego,Roel,"C/ Moralzarzal, 86",Madrid,28034,16,Spain,(91) 555 94 44,2018-08-04 16:00:00.000,1
20,Folies gourmandes,20,2,Assistant Sales Agent,Martine,Rancé,"184, chaussée de Tournai",Lille,59000,8,France,20.16.10.16,2018-08-04 16:00:00.000,1
21,Folk och fä HB,21,7,Owner,Maria,Larsson,Åkergatan 24,Bräcke,S-844 67,17,Sweden,0695-34 67 21,2018-08-04 16:00:00.000,1
22,Frankenversand,22,5,Marketing Manager,Peter,Franken,Berliner Platz 43,München,80805,9,Germany,089-0877310,2018-08-04 16:00:00.000,1
23,France restauration,23,5,Marketing Manager,Carine,Schmitt,"54, rue Royale",Nantes,44000,8,France,40.32.21.21,2018-08-04 16:00:00.000,1
24,Franchi S.p.A.,24,12,Sales Representative,Paolo,Accorti,Via Monte Bianco 34,Torino,10100,11,Italy,011-4988260,2018-08-04 16:00:00.000,1
25,Furia Bacalhau e Frutos do Mar,25,11,Sale's Manager,Lino,Rodriguez,Jardim das rosas n. 32,Lisboa,1675,15,Portugal,(1) 354-2534,2018-08-04 16:00:00.000,1
26,Galería del gastrónomo,26,5,Marketing Manager,Eduardo,Saavedra,"Rambla de Cataluña, 23",Barcelona,08022,16,Spain,(93) 203 4560,2017-06-04 05:00:00.000,1
27,Godos Cocina Típica,27,11,Sale's Manager,José,Pedro Freyre,"C/ Romero, 33",Sevilla,41101,16,Spain,(95) 555 82 82,2017-06-04 05:00:00.000,1
28,Königlich Essen,28,10,Sales Associate,Philip,Cramer,Maubelstr. 90,Brandenburg,14776,9,Germany,0555-09876,2017-06-04 05:00:00.000,1
29,La corne d'abondance,29,12,Sales Representative,Daniel,Tonini,"67, avenue de l'Europe",Versailles,78000,8,France,30.59.84.10,2017-06-04 05:00:00.000,1
30,La maison d'Asie,30,11,Sale's Manager,Annette,Roulet,1 rue Alsace-Lorraine,Toulouse,31000,8,France,61.77.61.10,2017-06-04 05:00:00.000,1
31,Lehmanns Marktstand,31,12,Sales Representative,Renate,Messner,Magazinweg 7,Frankfurt a.M.,60528,9,Germany,069-0245984,2017-06-04 05:00:00.000,1
32,Magazzini Alimentari Riuniti,32,5,Marketing Manager,Giovanni,Rovelli,Via Ludovico il Moro 22,Bergamo,24100,11,Italy,035-640230,2017-06-04 05:00:00.000,1
33,Maison Dewey,33,9,Sales Agent,Catherine,Dewey,Rue Joseph-Bens 532,Bruxelles,B-1180,3,Belgium,(02) 201 24 67,2017-06-04 05:00:00.000,1
34,Morgenstern Gesundkost,34,4,Marketing Assistant,Alexander,Feuer,Heerstr. 22,Leipzig,04179,9,Germany,0342-023176,2018-06-10 12:47:07.517,1
35,North/South,35,10,Sales Associate,Simon,Crowther,South House 300 Queensbridge,London,SW7 1RZ,19,UK,(171) 555-7733,2018-08-04 16:00:00.000,1
36,Océano Atlántico Ltda.,36,9,Sales Agent,Yvonne,Moncada,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,1,Argentina,(1) 135-5333,2018-08-04 16:00:00.000,1
37,Ottilies Käseladen,37,7,Owner,Henriette,Pfalzheim,Mehrheimerstr. 369,Köln,50739,9,Germany,0221-0644327,2018-08-04 16:00:00.000,1
38,Paris spécialités,38,7,Owner,Marie,Bertrand,"265, boulevard Charonne",Paris,75012,8,France,(1) 42.34.22.66,2018-08-04 16:00:00.000,1
39,Pericles Comidas clásicas,39,12,Sales Representative,Guillermo,Fernández,Calle Dr. Jorge Cash 321,México D.F.,05033,12,Mexico,(5) 552-3745,2018-08-04 16:00:00.000,1
40,Piccolo und mehr,40,11,Sale's Manager,Georg,Pipps,Geislweg 14,Salzburg,5020,2,Austria,6562-9722,2018-08-04 16:00:00.000,1
41,Princesa Isabel Vinhos,41,12,Sales Representative,Isabel,de Castro,Estrada da saúde n. 58,Lisboa,1756,15,Portugal,(1) 356-5634,2018-08-04 16:00:00.000,1
42,QUICK Stop,42,1,Accounting Manager,Horst,Kloss,Taucherstraße 10,Cunewalde,01307,9,Germany,0372-035188,2018-06-10 12:47:07.517,1
